Data set for Chi-square test

Description of data
--------------------------------------------------------------
This data contains information of Person who do smoke, It is a categorical data:


ids	Gender	Smoking

43783	Female	NonSmoker
20278	Female	NonSmoker
20389	Female	NonSmoker
22820	Male	
24559	Male	CurrentSmoker
28980	Female	NonSmoker
33312	Female	NonSmoker
40274	Female	NonSmoker
40390	Male	NonSmoker
28942	Male	NonSmoker
29045	Female	NonSmoker
35676	Male	
38764	Female	NonSmoker
39796	Male	CurrentSmoker
41092	Female	NonSmoker
43344	Female	PastSmoker
49688	Female	NonSmoker
37701	Male	CurrentSmoker
44116	Male	
25871	Female	NonSmoker
26154	Male	NonSmoker
41291	Female	NonSmoker
46752	Male	CurrentSmoker
20183	Female	NonSmoker
23643	Female	NonSmoker
40303	Male	NonSmoker
27496	Male	NonSmoker
26582	Female	NonSmoker
46919	Male	NonSmoker
20230	Female	NonSmoker
21083	Male	NonSmoker
21939	Female	NonSmoker
23017		NonSmoker
23217	Female	NonSmoker
23889	Female	NonSmoker
24985	Male	PastSmoker
25382	Female	NonSmoker
25701	Male	NonSmoker
26140	Male	NonSmoker
29142	Male	NonSmoker
30056	Female	
30164	Female	
30953	Male	NonSmoker
31227	Male	CurrentSmoker
31862	Female	
32521	Female	NonSmoker
33055	Female	NonSmoker
33153		NonSmoker
34417	Male	NonSmoker
34717	Female	NonSmoker
35023	Male	NonSmoker
35599	Female	
36555	Female	CurrentSmoker
38134	Female	NonSmoker
38528	Male	PastSmoker
38775	Female	NonSmoker
38980	Female	NonSmoker
39006	Male	NonSmoker
39341	Female	NonSmoker
39542	Male	NonSmoker
39715	Female	NonSmoker
40161	Male	NonSmoker
40619	Female	PastSmoker
41288	Female	CurrentSmoker
41254	Male	NonSmoker
42023	Male	NonSmoker
42630	Female	NonSmoker
42850	Female	CurrentSmoker
42769	Male	PastSmoker
43221	Male	NonSmoker
44088	Female	NonSmoker
44413	Male	NonSmoker
44517	Male	NonSmoker
46221	Female	NonSmoker
47050	Male	CurrentSmoker
47887	Male	NonSmoker
48361	Female	NonSmoker
49213	Female	NonSmoker
49326	Female	NonSmoker
49155	Male	NonSmoker
20531	Female	NonSmoker
20615	Male	NonSmoker
21492	Male	NonSmoker
22069	Female	NonSmoker
22567	Male	NonSmoker
23767	Female	NonSmoker
23937	Male	CurrentSmoker
24153	Male	CurrentSmoker
24202	Male	
24556	Male	NonSmoker
24656	Male	NonSmoker
25740	Male	NonSmoker
26435	Male	CurrentSmoker
26707	Female	NonSmoker
26691	Male	NonSmoker
27539	Male	NonSmoker
49947	Male	NonSmoker
29516	Male	CurrentSmoker
30826	Male	NonSmoker
30989	Male	NonSmoker
32304	Male	NonSmoker
32895	Female	NonSmoker
34033	Male	CurrentSmoker
34800	Male	CurrentSmoker
34919	Female	PastSmoker
36173	Male	CurrentSmoker
